,Player Name,PPG,TRB,AST,RSMVP,All NBA Team Selections,Championships,FMVP,All Defensive Teams,PER
0,Kareem Abdul-Jabbar,24.6,11.2,3.6,6,15,6,2,11,24.6
1,Ray Allen,18.9,4.1,3.4,0,2,2,0,0,18.6
2,Giannis Antetokounmpo,23.5,9.8,4.9,2,8,1,1,5,25.5
3,Carmelo Anthony,22.5,6.2,2.7,0,6,0,0,0,19.5
4,Paul Arizin,22.8,8.6,2.3,0,4,1,0,0,19.8
5,Charles Barkley,22.1,11.7,3.9,0,11,0,0,0,24.6
6,Rick Barry,24.8,6.7,4.9,0,6,1,1,0,21.0
7,Elgin Baylor,27.4,13.5,4.3,0,10,0,0,0,22.7
8,Bradley Beal,21.8,4.1,4.3,0,0,0,0,0,18.2
9,Larry Bird,24.3,10.0,6.3,3,10,3,2,3,23.5
10,Bill Bradley,12.4,3.2,3.4,0,0,2,0,0,12.2
11,Kobe Bryant,25.0,5.2,4.7,4,15,5,2,12,22.9
12,Stephen Curry,24.7,4.7,6.4,2,10,4,1,0,23.6
13,Anthony Davis,24.2,10.6,2.5,0,5,1,0,5,26.9
14,Dave DeBusschere,16.1,11.0,2.9,0,0,2,0,6,15.5
15,Clyde Drexler,20.4,6.1,5.6,0,5,1,0,0,21.1
16,Kevin Durant,27.3,7.0,4.4,2,11,2,2,0,25.0
17,Tim Duncan,19.0,10.8,3.0,2,15,5,3,15,24.2
18,Kevin Garnett,17.8,10.0,3.7,0,9,1,0,12,22.7
19,George Gervin,25.1,5.3,2.6,0,7,0,0,0,21.4
20,Hal Greer,19.2,5.0,4.0,0,7,1,0,0,15.7
21,John Havlicek,20.8,6.3,4.8,0,11,8,1,8,17.5
22,Elvin Hayes,21.0,12.5,1.8,0,6,1,0,2,17.7
23,Allen Iverson,26.7,3.7,6.2,2,7,0,0,0,20.9
24,LeBron James,27.1,7.5,7.4,3,20,4,4,6,27.0
25,Magic Johnson,19.5,7.2,11.2,3,10,5,3,0,24.1
26,Sam Jones,17.7,4.9,2.5,0,3,10,0,0,18.7
27,Michael Jordan,30.1,6.2,5.3,3,11,6,6,9,27.9
28,Jason Kidd,12.6,6.3,8.7,0,6,1,0,9,17.9
29,Bernard King,22.5,5.8,3.3,0,4,0,0,0,19.2
30,Bob Lanier,20.1,10.1,3.1,0,0,0,0,0,21.7
31,Kawhi Leonard,20.0,6.4,3.0,0,6,2,2,7,23.4
32,Damian Lillard,25.1,4.2,6.7,0,7,0,0,0,22.3
33,Jerry Lucas,17.0,15.6,3.3,0,5,1,0,0,18.9
34,Karl Malone,25.0,10.1,3.6,2,14,0,0,4,23.9
35,Moses Malone,20.3,12.3,1.3,3,8,1,1,2,22.0
36,Pete Maravich,24.2,4.2,5.4,0,4,0,0,0,18.4
37,Kevin McHale,17.9,7.3,1.7,0,0,3,0,6,20.0
38,George Mikan,23.1,13.4,2.8,2,0,5,0,0,27.1
39,Reggie Miller,18.2,3.0,3.0,0,3,0,0,0,18.4
40,Earl Monroe,18.8,3.0,3.9,0,0,1,0,0,17.2
41,Chris Mullin,18.2,4.1,3.5,0,4,0,0,0,18.8
42,Yao Ming,19.0,9.2,1.6,0,5,0,0,0,23.0
43,Steve Nash,14.3,3.0,8.5,2,7,0,0,0,20.0
44,Dirk Nowitzki,20.7,7.5,2.4,0,12,1,1,0,22.4
45,Hakeem Olajuwon,21.8,11.1,2.5,0,12,2,2,9,23.6
46,Shaquille O'Neal,23.7,10.9,2.5,3,14,4,3,3,26.4
47,Tony Parker,15.5,2.7,5.6,0,4,4,1,0,18.2
48,Chris Paul,17.4,4.5,9.3,0,11,0,0,9,23.9
49,Paul Pierce,19.7,5.6,3.5,0,4,1,1,0,19.7
50,Scottie Pippen,16.1,6.4,5.2,0,7,6,0,10,18.6
51,Willis Reed,18.7,12.9,1.8,2,5,2,2,0,18.6
52,Oscar Robertson,25.7,7.5,9.5,3,11,1,0,0,23.2
53,David Robinson,21.1,10.6,2.5,0,10,2,0,8,26.2
54,Bill Russell,15.1,22.5,4.3,5,11,11,0,0,18.9
55,Dolph Schayes,18.5,12.1,3.1,0,12,1,0,0,22.1
56,Bill Sharman,17.8,3.9,3.0,0,7,4,0,0,18.3
57,John Stockton,13.1,2.7,10.5,0,11,0,0,5,21.8
58,Isiah Thomas,19.2,3.6,9.3,2,5,2,1,0,18.1
59,Nate Thurmond,15.0,15.0,2.7,0,0,0,0,5,16.5
60,Wes Unseld,10.8,14.0,3.9,0,0,1,1,0,16.0
61,Dwyane Wade,22.0,4.7,5.4,0,8,3,1,3,23.5
62,Bill Walton,13.3,10.5,3.4,0,2,2,1,2,20.0
63,Jerry West,27.0,5.8,6.7,0,12,1,1,5,22.9
64,Lenny Wilkens,16.5,4.7,6.7,0,0,0,0,0,16.8
65,Dominique Wilkins,24.8,6.7,2.5,0,7,0,0,0,21.6
66,James Worthy,17.6,5.1,3.0,0,2,3,1,0,17.7
67,Bob Pettit,26.4,16.2,3.0,4,11,1,0,0,25.4
68,Willis Reed,18.7,12.9,1.8,2,5,2,2,0,18.6
69,Paul Arizin,22.8,8.6,2.3,0,4,1,0,0,19.8
